시군구,번지,본번,부번,단지명,전용면적,계약연도,계약일,거래금액,층,건축년도,도로명
대전광역시 서구 도안동,1369,1369,0,도안리슈빌,84.9868,201611,12,34600,24,2014,도안동로 123
대전광역시 서구 도안동,1369,1369,0,도안리슈빌,84.9868,201611,14,35400,28,2014,도안동로 123
대전광역시 서구 도안동,1369,1369,0,도안리슈빌,84.9711,201611,17,34150,6,2014,도안동로 123
대전광역시 서구 도안동,1369,1369,0,도안리슈빌,84.9132,201611,18,35000,27,2014,도안동로 123
대전광역시 서구 도안동,1369,1369,0,도안리슈빌,73.5542,201611,18,31500,26,2014,도안동로 123
대전광역시 서구 도안동,1369,1369,0,도안리슈빌,84.9751,201611,21,34000,16,2014,도안동로 123
대전광역시 서구 도안동,1369,1369,0,도안리슈빌,84.8646,201612,16,34900,18,2014,도안동로 123
대전광역시 서구 도안동,1369,1369,0,도안리슈빌,84.9868,201612,22,34700,22,2014,도안동로 123
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9818,201601,12,29100,10,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201601,18,30900,6,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201601,20,30700,13,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201602,3,29000,12,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9818,201602,20,28000,15,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201602,27,28900,14,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201602,29,27500,2,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201603,9,31000,5,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201604,6,29500,20,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9398,201604,7,28600,11,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201604,22,31700,15,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201604,23,31000,7,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9398,201604,25,27500,1,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9818,201604,25,27800,5,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201604,27,30800,14,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201604,29,30500,5,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201605,6,27500,1,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201605,20,29200,8,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201605,22,31700,19,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201605,24,29500,11,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9398,201605,28,31000,10,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201605,28,28000,4,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201605,30,31450,12,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9398,201606,19,30800,14,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9398,201606,27,31150,10,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201606,29,30500,13,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201607,2,27700,3,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201607,2,28800,12,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201607,6,29500,13,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9818,201607,11,29500,12,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201607,16,27000,1,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201607,19,31500,11,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9818,201607,23,30000,12,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201607,23,30500,13,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201607,23,28400,3,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9818,201607,25,28700,17,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201607,26,30000,2,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9818,201607,31,27950,5,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201608,1,31500,17,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201608,4,31500,13,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201608,6,29400,7,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9967,201608,9,30600,8,2010,도안동로 177
대전광역시 서구 도안동,1364,1364,0,엘드수목토,84.9884,201608,13,28800,6,2010,도안동로 177
